"";"Codigo_Estacao";"Precipitacao_na_count";"Precipitacao_total_count";"Precipitacao_percentage_na";"Temperatura_minima_na_count";"Temperatura_minima_total_count";"Temperatura_minima_percentage_na";"Temperatura_maxima_na_count";"Temperatura_maxima_total_count";"Temperatura_maxima_percentage_na";"Nome";"Latitude";"Longitude";"Altitude";"Situacao";"Data Inicial";"Data Final";"Periodicidade da Medicao";"Tipo";"id"
"1";"82753";437;8918;4,9;1112;8918;12,47;1112;8918;12,47;"OURICURI";"-7.87944443";"-40.09194444";462,01;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.87944443 -40.09194444"
"2";"82781";8918;8918;100;8918;8918;100;8918;8918;100;"NAZARE DA MATA";"-7.73";"-35.25";87;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.73 -35.25"
"3";"82789";297;6662;4,46;290;6662;4,35;290;6662;4,35;"TRIUNFO";"-7.82972221";"-38.12222221";1105;"Fechada";1985-01-01;2018-03-28;"Diaria";"Convencional";"-7.82972221 -38.12222221"
"4";"82797";291;8918;3,26;289;8918;3,24;289;8918;3,24;"SURUBIM";"-7.839628";"-35.801056";421,44;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.839628 -35.801056"
"5";"82799";8918;8918;100;8918;8918;100;8918;8918;100;"GOIANA";"-7.55";"-34.98";11;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.55 -34.98"
"6";"82886";788;8918;8,84;817;8918;9,16;817;8918;9,16;"CABROBO";"-8.50388888";"-39.31527777";342,78;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.50388888 -39.31527777"
"7";"82890";419;8918;4,7;450;8918;5,05;450;8918;5,05;"ARCO VERDE";"-8.4336111";"-37.05527777";683,91;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.4336111 -37.05527777"
"8";"82892";345;5801;5,95;343;5801;5,91;343;5801;5,91;"PESQUEIRA";"-8.370701";"-36.707812";643,38;"Desativada";1985-01-01;2015-11-18;"Diaria";"Convencional";"-8.370701 -36.707812"
"9";"82893";1159;8351;13,88;4554;8351;54,53;4554;8351;54,53;"GARANHUNS";"-8.91083333";"-36.49333333";827,78;"Fechada";1985-01-01;2022-11-11;"Diaria";"Convencional";"-8.91083333 -36.49333333"
"10";"82897";8918;8918;100;8917;8918;99,99;8917;8918;99,99;"TAPACURA";"-8.17";"-35.18";102;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.17 -35.18"
"11";"82898";8918;8918;100;8917;8918;99,99;8917;8918;99,99;"OLINDA";"-8.02";"-34.85";55;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.02 -34.85"
"12";"82900";12;7549;0,16;33;7549;0,44;33;7549;0,44;"RECIFE (CURADO)";"-8.05916666";"-34.95916666";11,3;"Fechada";1985-01-01;2020-08-31;"Diaria";"Convencional";"-8.05916666 -34.95916666"
"13";"82983";118;8918;1,32;202;8918;2,27;202;8918;2,27;"PETROLINA";"-9.3886111";"-40.52333332";372,54;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-9.3886111 -40.52333332"
"14";"A301";577;6170;9,35;467;6170;7,57;467;6170;7,57;"RECIFE";"-8.05916666";"-34.95916666";11,3;"Desativada";2004-12-21;2021-11-11;"Diaria";"Automatica";"-8.05916666 -34.95916666"
"15";"A307";878;7772;11,3;682;7772;8,78;682;7772;8,78;"PETROLINA";"-9.38833333";"-40.52333332";372,72;"Operante";2003-02-20;2024-05-31;"Diaria";"Automatica";"-9.38833333 -40.52333332"
"16";"A309";1652;7134;23,16;925;7134;12,97;925;7134;12,97;"ARCO VERDE";"-8.4336111";"-37.05555555";683,95;"Operante";2004-11-19;2024-05-31;"Diaria";"Automatica";"-8.4336111 -37.05555555"
